id,geometry_type,wkt,area_m2,area_km2,centroid_lon,centroid_lat,bbox_minx,bbox_miny,bbox_maxx,bbox_maxy,parts,holes,vertices,label,area_const,cbml,cobama,fecha_sinc,id_constru,numero_edi,numero_mej,numero_mez,numero_pis,numero_sem,numero_sot,Shape_Area,Shape_Leng,tipo_const
32,MultiPolygon,"MULTIPOLYGON (((-75.55011620516501 6.29599300129343, -75.55012006870652 6.29598482830058, -75.5501489320991 6.295994381040864, -75.55014583215373 6.296000718587874, -75.55016781636954 6.296007994057318, -75.55015793832463 6.296023135440104, -75.55010953339448 6.296007113506054, -75.55011620516501 6.29599300129343)))",14,0.000014,-75.55013804660186,6.296001596032318,-75.55016781636954,6.29598482830058,-75.55010953339448,6.296023135440104,1,0,8,,41.31,01030070004,0103007,2026-06-20,01030070004_0000,0,0,0,3,0,0,13.7711590821,17.0771428807,N
33,MultiPolygon,"MULTIPOLYGON (((-75.55008999206537 6.296048444272808, -75.55009308022896 6.296041914209237, -75.55009879679857 6.296044621185478, -75.55009570953418 6.296051150340555, -75.55008999206537 6.296048444272808)))",1,0.000001,-75.55009439465677,6.29604653250202,-75.55009879679857,6.296041914209237,-75.55008999206537,6.296051150340555,1,0,5,,0.56,01030070004,0103007,2026-06-20,01030070004_0000,0,0,0,1,0,0,0.55926804973,2.99791830429,N
34,MultiPolygon,"MULTIPOLYGON (((-75.54952601852804 6.296116231467972, -75.54952923177157 6.296093856369234, -75.54958469881132 6.296107608005129, -75.54960953874466 6.296045726380513, -75.5496539347146 6.296063638545851, -75.54962240915492 6.296140127899821, -75.54961335521674 6.296137880235973, -75.54959515872606 6.296133371779187, -75.54952601852804 6.296116231467972)))",65,0.000065,-75.54959179320849,6.296104805085459,-75.5496539347146,6.296045726380513,-75.54952601852804,6.296140127899821,1,0,9,,65,01030060008,0103006,2026-06-20,01030060008_0000,0,0,0,1,0,0,65.0044618222,41.6404545435,N
35,MultiPolygon,"MULTIPOLYGON (((-75.55009879679857 6.296044621185478, -75.55009308022896 6.296041914209237, -75.55008999206537 6.296048444272808, -75.5500381037552 6.296023886534278, -75.55005709549354 6.295973439663689, -75.55011620516501 6.29599300129343, -75.55010953339448 6.296007113506054, -75.55015793739459 6.296023130020033, -75.55012929338184 6.296067034051906, -75.550103155005 6.296054672505831, -75.55010021612087 6.296053281891383, -75.55009570953418 6.296051150340555, -75.55009879679857 6.296044621185478)))",70,0.000070,-75.5500990931948,6.296031807456224,-75.55015793739459,6.295973439663689,-75.5500381037552,6.296067034051906,1,0,13,,139,01030070004,0103007,2026-06-20,01030070004_0000,0,0,0,2,0,0,69.4955803898,38.7830474522,N
36,MultiPolygon,"MULTIPOLYGON (((-75.54962240915492 6.296140127899821, -75.5496539347146 6.296063638545851, -75.54969502427252 6.296080206186059, -75.54967271051167 6.296152592909374, -75.54963748726608 6.296143865926358, -75.54962240915492 6.296140127899821)))",47,0.000047,-75.54965631318396,6.296116086293493,-75.54969502427252,6.296063638545851,-75.54962240915492,6.296152592909374,1,0,6,,139.26,01030060008,0103006,2026-06-20,01030060008_0000,0,0,0,3,0,0,46.4226904952,28.1683243476,N
37,MultiPolygon,"MULTIPOLYGON (((-75.54714428385418 6.301524688923002, -75.54714047318984 6.301487050637956, -75.54719085644376 6.301491918104801, -75.54723443784178 6.301496483375591, -75.54723825950897 6.301527672618645, -75.5472311418197 6.301528937881881, -75.54722398214197 6.301529931214448, -75.5471531908234 6.301539754819479, -75.54715315831719 6.301539759498811, -75.54715146500624 6.301525503697756, -75.54714428385418 6.301524688923002)))",48,0.000048,-75.5471861248947,6.301519170077237,-75.54723825950897,6.301487050637956,-75.54714047318984,6.301539759498811,1,0,11,,47.43,01030540006,0103054,2026-06-20,01030540006_0000,0,0,0,1,0,0,47.4261589228,30.0124830547,N
38,MultiPolygon,"MULTIPOLYGON (((-75.54727134146778 6.301923680073321, -75.54727618648224 6.301918308615692, -75.5473256470403 6.301960907977646, -75.54732838737806 6.301963266056167, -75.54732702873017 6.301964817811143, -75.54732243520607 6.301970064177895, -75.54727013269122 6.301925021343425, -75.54727134146778 6.301923680073321)))",8,0.000008,-75.54730302271368,6.301946580865041,-75.54732838737806,6.301918308615692,-75.54727013269122,6.301970064177895,1,0,8,,15.26,01030540046,0103054,2026-06-20,01030540046_0000,0,0,0,2,0,0,7.62706253195,17.2594513634,N
39,MultiPolygon,"MULTIPOLYGON (((-75.54833813875834 6.294454071754687, -75.54834398122509 6.294437205177765, -75.54835474630087 6.294439967999791, -75.54834786022934 6.294456838768062, -75.54833813875834 6.294454071754687)))",2,0.000002,-75.5483461816284,6.294447020925077,-75.54835474630087,6.294437205177765,-75.54833813875834,6.294456838768062,1,0,5,,2.33,01030010001,0103001,2026-06-20,01030010001_0000,0,0,0,1,0,0,2.33059220921,6.33868436538,N
40,MultiPolygon,"MULTIPOLYGON (((-75.54835947509902 6.294428378696514, -75.54836931135162 6.294404285999259, -75.54839576401136 6.294414227667184, -75.54839575687998 6.294414247592312, -75.54838720584337 6.294438409055116, -75.54835947509902 6.294428378696514)))",9,0.000009,-75.54838150263706,6.294419909802076,-75.54839576401136,6.294404285999259,-75.54835947509902,6.294438409055116,1,0,6,,18.26,01030010001,0103001,2026-06-20,01030010001_0000,0,0,0,1,0,1,9.12905023795,12.106754569,N
41,MultiPolygon,"MULTIPOLYGON (((-75.54830652809422 6.294518899435982, -75.54832269927952 6.294472940768354, -75.54832951353943 6.294475436279257, -75.54831333687177 6.294521382316187, -75.54830652809422 6.294518899435982)))",4,0.000004,-75.54831801944624,6.294497164699945,-75.54832951353943,6.294472940768354,-75.54830652809422,6.294521382316187,1,0,5,,4.32,01030010001,0103001,2026-06-20,01030010001_0000,0,0,0,1,0,0,4.32443894736,12.3824901704,N
